"","survey","race_eth_poc_update","gender","workplace_travel_stratclust","count_stratclust","count_moe_stratclust","share_stratclust","share_moe_stratclust","sample_size_stratclust","year_stratclust","workplace_travel_old","count_old","count_moe_old","share_old","share_moe_old","sample_size_old","year_old"
"1","2017_2019","people of color","Female","Works at home",26658.8894213635,13253.6678826733,0.106150878404542,0.0498245359917206,81,"2017/2019","Works at home",26658.8894213635,13276.1157235409,0.106150878404542,0.0495900452237911,81,"2017/2019"
"2","2017_2019","people of color","Male","Works at home",17113.5140135811,10303.6437261794,0.0614441423614561,0.0361642830069087,61,"2017/2019","Works at home",17113.5140135811,10308.8868388828,0.0614441423614561,0.0358622860093672,61,"2017/2019"
"3","2017_2019","white, non-Hispanic","Female","Works at home",33026.8563571505,8665.92069499226,0.0604778848943042,0.0163337124850938,231,"2017/2019","Works at home",33026.8563571505,8751.7436931087,0.0604778848943042,0.0163813057383374,231,"2017/2019"
"4","2017_2019","white, non-Hispanic","Male","Works at home",27061.8422539763,8030.30910810958,0.0381928700795129,0.011675901804984,205,"2017/2019","Works at home",27061.8422539763,8104.60997680567,0.0381928700795129,0.011606801962607,205,"2017/2019"
"5","2021","people of color","Female","Works at home",145529.176089733,26469.0555369067,0.400065214368018,0.056750005864837,189,"2021","Works at home",145529.176089733,26820.4912252731,0.400065214368018,0.0578414556937277,189,"2021"
"6","2021","people of color","Male","Works at home",114391.118395053,23376.3687156674,0.311010272613386,0.0531964597498042,173,"2021","Works at home",114391.118395053,23495.1603780015,0.311010272613386,0.0543331433028526,173,"2021"
"7","2021","white, non-Hispanic","Female","Works at home",248435.74012677,31829.5452706185,0.414843330450202,0.0442506914755301,351,"2021","Works at home",248435.74012677,32688.6344431395,0.414843330450202,0.043919875125425,351,"2021"
"8","2021","white, non-Hispanic","Male","Works at home",265203.819954098,33160.1389568793,0.355440488813708,0.0406002491403602,339,"2021","Works at home",265203.819954098,34565.8370254591,0.355440488813708,0.0396628740505996,339,"2021"
