"","survey","race_eth_poc_update","gender","mode_simple_stratclust","count_stratclust","count_moe_stratclust","share_stratclust","share_moe_stratclust","sample_size_stratclust","year_stratclust","mode_simple_old","count_old","count_moe_old","share_old","share_moe_old","sample_size_old","year_old"
"1","2017_2019","people of color","Female","Transit",132051.566580645,54317.6164816975,0.0743909917509939,0.0298905197374179,1094,"2017/2019","Transit",132051.566580645,23922.6813775567,0.0743909917509939,0.013336031201812,1094,"2017/2019"
"2","2017_2019","people of color","Male","Transit",93091.2579583391,25630.2871953249,0.0656383890642148,0.0182939648741933,1171,"2017/2019","Transit",93091.2579583391,18304.2032914796,0.0656383890642148,0.01287598874297,1171,"2017/2019"
"3","2017_2019","white, non-Hispanic","Female","Transit",185997.757459056,38991.0182643171,0.0378320822491661,0.00811187940908548,2567,"2017/2019","Transit",185997.757459056,28556.5636905008,0.0378320822491661,0.00577580625864241,2567,"2017/2019"
"4","2017_2019","white, non-Hispanic","Male","Transit",236791.197983851,61172.5455592403,0.0580906472462217,0.0142166443716262,2657,"2017/2019","Transit",236791.197983851,36524.4243649846,0.0580906472462217,0.00872462964984357,2657,"2017/2019"
"5","2021","people of color","Female","Transit",106191.507281362,44393.0115547124,0.0516779230765321,0.0210239618993966,101,"2021","Transit",106191.507281362,27445.904041044,0.0516779230765321,0.0130428128329471,101,"2021"
"6","2021","people of color","Male","Transit",80749.8403023043,33402.3029410766,0.0446875744199262,0.0182502179463118,84,"2021","Transit",80749.8403023043,20934.9828269129,0.0446875744199262,0.0114524447019193,84,"2021"
"7","2021","white, non-Hispanic","Female","Transit",122216.214580582,49318.5799784661,0.026567811522504,0.0105963726207898,103,"2021","Transit",122216.214580582,29322.4279942338,0.026567811522504,0.00630610664959548,103,"2021"
"8","2021","white, non-Hispanic","Male","Transit",114565.217218926,40958.7490023702,0.0249204326834716,0.00892530189058325,109,"2021","Transit",114565.217218926,28329.6320567365,0.0249204326834716,0.00610735706859621,109,"2021"
